qrCode,batteryId,vendorId,action,status,message
DC-RP210506A00572-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,RA0WtCWbs1EsTs65wbfT,0015041C000013A1,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210506A00395-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,8FCpDLyQePbIyKq47kw5,0015031B00000DE9,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210201A00130-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,cy3xKX7ZFN2w3Xv1kCXE,0015010800000CD6,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210125A00111-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,FhOK1FKFXNoZtC4APnfH,001501080000072E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210126A00771-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,5jUQCnTWAUTOD5NueqMJ,00140C0800000225,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210627A00399-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,YQE5DvfPwv1ZgwBvuQlR,00150613000007C5,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210626A00282-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,EAcTiZcUUIS8jhMpNt59,00150613000004CC,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210125A00136-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Yi3F4L66NzYsEoXEvyN7,001501080000000E,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210402A00140-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,Zfmpoi4Ggk8bt6jHFOO7,0015011D000004A2,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210607A00776-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,nKATf8EmpYbIIw8En9wq,00150613000001AB,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210513A00801-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2w5ZHvQUIKkd0CGUbztE,0015041C00001415,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210626A00118-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,jUjwi6v6sZlVUBSEBDKs,00150613000008FF,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210507A00510-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,2qLP94OlaTuiP5MGKkO9,0015041C0000040F,Tags hinzufügen,Success,Tag hinzugefügt
DC-RP210201A00323-2010100110-47V14.7Ah-690.9Wh-RSS50F413S03P00000,VLwDa28KU9yqYvxR5tp8,001501080000026D,Tags hinzufügen,Success,Tag hinzugefügt
DC-DG210623A04640-2010100135-47V14.4Ah-676.8Wh-RLJ50F413S03P00000,C0JuOPL3FTupBeLiH7VL,00150613000006DE,Tags hinzufügen,Success,Tag hinzugefügt
